PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
90319,2021-09-30,GOOGL,2673.52002,-0.076169,300801.0,-0.042243,-0.047569,Consumer Discretionary
90319,2021-10-29,GOOGL,2960.91992,0.107499,300810.0,0.064651,0.069144,Consumer Discretionary
90319,2021-11-30,GOOGL,2837.94995,-0.041531,300810.0,-0.01835,-0.008334,Consumer Discretionary
90319,2021-12-31,GOOGL,2897.04004,0.020821,300737.0,0.033341,0.043613,Consumer Discretionary
90319,2022-01-31,GOOGL,2706.07007,-0.065919,300755.0,-0.059822,-0.052585,Consumer Discretionary
90319,2022-02-28,GOOGL,2701.13989,-0.001822,300755.0,-0.021838,-0.031361,Consumer Discretionary
90319,2022-03-31,GOOGL,2781.3501,0.029695,300763.0,0.030506,0.035773,Consumer Discretionary
90319,2022-04-29,GOOGL,2282.18994,-0.179467,300764.0,-0.089387,-0.087957,Consumer Discretionary
90319,2022-05-31,GOOGL,2275.23999,-0.003045,300764.0,-0.002113,5.3e-05,Consumer Discretionary
90319,2022-06-30,GOOGL,2179.26001,-0.042185,300764.0,-0.083998,-0.08392,Consumer Discretionary
90319,2022-07-29,GOOGL,116.32,0.067518,5996000.0,0.090351,0.091116,Consumer Discretionary
90319,2022-08-31,GOOGL,108.22,-0.069635,5996000.0,-0.036233,-0.04244,Consumer Discretionary
90319,2022-09-30,GOOGL,95.65,-0.116152,5978000.0,-0.091323,-0.093396,Consumer Discretionary
90319,2022-10-31,GOOGL,94.51,-0.011918,5973000.0,0.077394,0.079863,Consumer Discretionary
90319,2022-11-30,GOOGL,100.99,0.068564,5973000.0,0.052354,0.053753,Consumer Discretionary
90319,2022-12-30,GOOGL,88.23,-0.126349,5956000.0,-0.057119,-0.058971,Consumer Discretionary
90319,2023-01-31,GOOGL,98.84,0.120254,5956000.0,0.071823,0.061753,Consumer Discretionary
90319,2023-02-28,GOOGL,90.06,-0.088830,5956000.0,-0.024666,-0.026112,Consumer Discretionary
90319,2023-03-31,GOOGL,103.73,0.151788,5943000.0,0.02395,0.035052,Consumer Discretionary
90319,2023-04-28,GOOGL,107.34,0.034802,5941000.0,0.008976,0.014642,Consumer Discretionary
90319,2023-05-31,GOOGL,122.87,0.144681,5941000.0,0.000708,0.002482,Consumer Discretionary
90319,2023-06-30,GOOGL,119.7,-0.025800,5934000.0,0.066183,0.064728,Consumer Discretionary
90319,2023-07-31,GOOGL,132.72,0.108772,5933000.0,0.035618,0.031139,Consumer Discretionary
90319,2023-08-31,GOOGL,136.17,0.025995,5933000.0,-0.020608,-0.017716,Consumer Discretionary
90319,2023-09-29,GOOGL,130.86,-0.038995,5922000.0,-0.04739,-0.048719,Consumer Discretionary
90319,2023-10-31,GOOGL,124.08,-0.051811,5918000.0,-0.028865,-0.02198,Consumer Discretionary
90319,2023-11-30,GOOGL,132.53,0.068101,5918000.0,0.092053,0.089179,Consumer Discretionary
90319,2023-12-29,GOOGL,139.69,0.054026,5899000.0,0.053604,0.044229,Consumer Discretionary
90319,2024-01-31,GOOGL,140.10001,0.002935,5893000.0,0.007561,0.015896,Consumer Discretionary
90319,2024-02-29,GOOGL,138.46001,-0.011706,5893000.0,0.050583,0.051721,Consumer Discretionary
